country,category,equipment,equipment_origin,text,source
Russia,Aircraft ,An-26 transport aircraft,ussr,"1, destroyed",https://i.postimg.cc/R0ppMFNQ/448.png
Russia,Aircraft ,Su-24M/MR strike/tactical reconnaissance aircraft,ussr,"5, damaged beyond economical repair on the ground",https://i.postimg.cc/mDQ1Vp8m/3326.png
Russia,Aircraft ,Su-24M/MR strike/tactical reconnaissance aircraft,ussr,"6, damaged on the ground",https://i.postimg.cc/mr7rGzCD/3326.png
Russia,Aircraft ,Su-24M/MR strike/tactical reconnaissance aircraft,ussr,"1, 2, 3 and 4, destroyed on the ground",https://i.postimg.cc/nVD3fnwW/3326.png
Russia,Aircraft ,Su-24MR tactical reconnaissance aircraft,ussr,"1, destroyed on the ground",https://i.postimg.cc/G3FmfyrS/6653.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"17, destroyed",https://i.postimg.cc/0NjSWsy8/42.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"8, destroyed",https://i.postimg.cc/DZ14y78S/316.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"1, destroyed",https://i.postimg.cc/L6456Fm4/38.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"2, destroyed",https://i.postimg.cc/Mp371YRh/675.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"11, destroyed",https://i.postimg.cc/PqBrzQ94/2d.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"6, destroyed",https://i.postimg.cc/RCjcz7sM/h7.jpg
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"13, destroyed",https://i.postimg.cc/RZbzx5tR/338.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"4, destroyed",https://i.postimg.cc/SsTkvvtc/46.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"3, destroyed",https://i.postimg.cc/VNx7Xd0x/n86.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"9, destroyed",https://i.postimg.cc/XJ2YWqt8/6y6.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"16, destroyed",https://i.postimg.cc/ZY64Sn83/331.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"10, destroyed",https://i.postimg.cc/bNnXPwcr/43g9.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"19, destroyed",https://i.postimg.cc/d0frJvX8/1008-su25.jpg
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"12, destroyed",https://i.postimg.cc/y6XbrW3z/6522.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"5, destroyed",https://i.postimg.cc/zBCBJNs4/360.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"18, damaged beyond economical repair",https://i.postimg.cc/zBVmRBJ2/h9.png
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"7, destroyed",https://twitter.com/RALee85/status/1507360503546449924
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"14, destroyed",https://twitter.com/RALee85/status/1538798047249027072
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"1, damaged",https://twitter.com/UAWeapons/status/1535271617928081409
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"15, destroyed",https://twitter.com/UAWeapons/status/1539288719638859776
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"20, destroyed",https://twitter.com/UAWeapons/status/1567464762098814983
Russia,Aircraft ,Su-25 close air support aircraft,ussr,"21, destroyed",https://twitter.com/UAWeapons/status/1569302325533020160
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"5, destroyed",https://i.postimg.cc/05Wr4fXG/4fs.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"3, destroyed",https://i.postimg.cc/3R8v9rk7/65.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"4, destroyed",https://i.postimg.cc/8ch0qvfw/763.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"6, 7 and 8, destroyed on the ground",https://i.postimg.cc/FKS4JMHn/3326.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"1, destroyed on the ground",https://i.postimg.cc/QNPryLw9/7699.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"11, damaged beyond economical repair on the ground",https://i.postimg.cc/j5qMrfmQ/3326.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"2, destroyed",https://i.postimg.cc/pTmn3GJ1/443.png
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"9, destroyed",https://i.postimg.cc/zGGdTPWX/1003-su30.jpg
Russia,Aircraft ,Su-30SM multirole aircraft,russian federation,"10, destroyed",https://twitter.com/UAWeapons/status/1569275480343281665
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"2, destroyed",https://i.postimg.cc/6q0TL6rV/a1.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"3, destroyed",https://i.postimg.cc/XNTgS10c/b8.jpg
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"4, destroyed",https://i.postimg.cc/brNRFNVw/46.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"1, destroyed",https://i.postimg.cc/c1MKNhpK/a2.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"7, destroyed",https://i.postimg.cc/k5Yj5H3G/790.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"10, destroyed",https://i.postimg.cc/qv4zqnd1/55j.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"5, destroyed",https://i.postimg.cc/rpZdfjt7/5gh.png
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"6, destroyed",https://twitter.com/MotolkoHelp/status/1516815396552200200
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"12, destroyed",https://twitter.com/RALee85/status/1569279954281705473
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"9, destroyed",https://twitter.com/UAWeapons/status/1518542194646388738
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"8, destroyed",https://twitter.com/UAWeapons/status/1519020714937962497
Russia,Aircraft ,Su-34 strike aircraft,russian federation,"11, destroyed",https://twitter.com/UAWeapons/status/1568710616868704258
Russia,Aircraft ,Su-34M strike aircraft,russian federation,"1, destroyed",https://twitter.com/UAWeapons/status/1548937987567804417
Russia,Aircraft ,Su-35S multirole aircraft,russian federation,"1, destroyed",https://i.postimg.cc/9Xx2XhXx/32f.png
Russia,Aircraft ,Unknown Su-30/Su-34/Su-35,russian federation,"1, destroyed",https://i.postimg.cc/4yvbSFJ1/1008.jpg
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"4, captured",https://i.postimg.cc/5t4w0KxM/467.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"2, destroyed by Bayraktar TB2",https://i.postimg.cc/MKgzsYwB/366.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"6, captured",https://i.postimg.cc/Nfrp5ZsT/1030-zu23-2.jpg
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"1, destroyed by Bayraktar TB2",https://i.postimg.cc/Y24jwX90/s2.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"1, captured",https://i.postimg.cc/rwZrBrTp/4fh.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"3, captured",https://i.postimg.cc/sD02YXhJ/42.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"2, captured",https://i.postimg.cc/t4z6JH5f/3d14.png
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"5, captured",https://twitter.com/UAWeapons/status/1529865401072590848
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"7, damaged and captured",https://twitter.com/UAWeapons/status/1567822704601858048
Russia,Anti-Aircraft Guns ,23mm ZU-23-2,ussr,"8, captured",https://twitter.com/UAWeapons/status/1570342741913268225
Russia,Armoured Fighting Vehicles ,2S1 with ZU-23 AA gun,ussr,"1, captured",https://i.postimg.cc/Yq5q4HcW/88kj.png 
Russia,Armoured Fighting Vehicles ,BRDM-2,ussr,"1, destroyed",https://i.postimg.cc/HWJMWnXs/d4.png
Russia,Armoured Fighting Vehicles ,BRDM-2,ussr,"2, destroyed",https://i.postimg.cc/Qx0xF42r/1001-brdm2.jpg
Russia,Armoured Fighting Vehicles ,BRDM-2,ussr,"3, destroyed",https://i.postimg.cc/hvs0Z6v0/1002-brdm2.jpg
Russia,Armoured Fighting Vehicles ,BRM-1K reconnaissance vehicle,ussr,"10, destroyed",https://i.postimg.cc/3wGmwKjQ/55441.png
Russia,Armoured Fighting Vehicles ,BRM-1K reconnaissance vehicle,ussr,"8, destroyed",https://i.postimg.cc/7Lbhr8dz/6658.jpg
